username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
CTV Calgary,21037096,2017-03-05 21:09:28,"Watch as Michael 'Eddie the Eagle' Edwards, darling of the 1988 Winter Olympics, returns to Canada Olympic Park and... https://t.co/ZZgexI5ADF",55,None,135354,498,0.0,0.0
ABC 7 Chicago,17028405,2017-03-06 03:14:43,Polar Plunge raises $1.5 million for Special Olympics: https://t.co/PSmXlUZYlP https://t.co/9eO8c2yyZr,49,None,595096,1507,0.13690476190476192,0.4107142857142857
Kenneth Roth,17839398,2017-03-06 11:00:31,Russia's provinces crumble as Putin spends billions on diversionary projects like Syrian war and Sochi Olympics.... https://t.co/fLC7nC7gtN,44,None,199685,824,0.0,0.0
Miami Marlins,52863923,2017-03-05 17:20:45,"All out for the #Marlins Clubbie Olympics. 

#LetsPlay | #MarlinsST https://t.co/Q1ee1hhyGs",35,Marlins,268169,2966,0.0,0.0
Olympics,52422878,2017-03-05 19:02:05,Hypnotic.  #SlomoSunday @fisalpine https://t.co/MKmw3QImF6,51,SlomoSunday,4966981,4023,0.0,0.0
Cody Miller,217463044,2017-03-05 17:51:30,"World Record holder of GB!! Great racing in Indy this past weekend, first time since the Olympics!! Always fun, s... https://t.co/3zNFi6O6Bp",36,None,17657,144,0.31015625,0.3833333333333333
Michael Casagrande,108162397,2017-03-05 23:55:19,"""I'm a football player. I'm not into this stuff -- this gym-shorts Olympics."" -- Alabama LB at the NFL combine https://t.co/bUzmFiYtK3",18,None,13026,968,0.0,0.0
CBC Olympics,1060751816,2017-03-05 15:28:55,"Alex Harvey turns on the jets, wins cross-country skiing world title, plays air guitar https://t.co/FdhTkQTV6Y https://t.co/p0PN8ML24z",45,None,172993,1927,0.3,0.2
CBC Olympics,1060751816,2017-03-05 22:30:37,Canada earns World Cup ski cross golden sweep on home snow https://t.co/OXddyeTlmY https://t.co/XF8n36B7kd,38,None,172993,1927,0.15,0.25
India Today,19897138,2017-03-05 11:27:50,Some amazing scenes from annual Kila Raipur Sports Festival also known as the Rural Olympics held in Ludhiana distr... https://t.co/t8wYTd7GEO,27,None,3926698,268,0.30000000000000004,0.45
NBC Olympics,14955353,2017-03-05 23:56:06,.@LindseyVonn got her first look at the 2018 Winter Olympics track in South Korea this weekend. https://t.co/asulCeRVjK,22,None,831016,2906,0.25,0.3333333333333333
CBC News Alerts,19038934,2017-03-05 17:33:48,Canadian Marielle Thompson wins gold in skicross worlds: https://t.co/6X0lGL170P,33,None,966051,430,0.3,0.2
Roy Campos,68036460,2017-03-05 19:45:45,"""@oldpicsarchive: 1936. Jesse Owens, wins the 100 meter dash at the Olympics in Berlin / y #hitler hace coraje https://t.co/UXKtOdlIi6",24,hitler,1090314,860064,0.3,0.2
